Estacion;Fecha inicial;PM2.5
ZIPAQUIRÁ - EFZ;2024-01-07 11:00;9.63
ZIPAQUIRÁ - EFZ;2024-01-07 10:00;27.84
ZIPAQUIRÁ - EFZ;2024-01-07 09:00;50.05
ZIPAQUIRÁ - EFZ;2024-01-07 08:00;23.93
ZIPAQUIRÁ - EFZ;2024-01-07 07:00;21.72
ZIPAQUIRÁ - EFZ;2024-01-07 06:00;13.89
ZIPAQUIRÁ - EFZ;2024-01-07 05:00;11.18
ZIPAQUIRÁ - EFZ;2024-01-07 04:00;15.86
ZIPAQUIRÁ - EFZ;2024-01-07 03:00;12.11
ZIPAQUIRÁ - EFZ;2024-01-07 02:00;14.75
ZIPAQUIRÁ - EFZ;2024-01-07 01:00;8.0
ZIPAQUIRÁ - EFZ;2024-01-07 00:00;8.09
ZIPAQUIRÁ - EFZ;2024-01-06 23:00;10.0
ZIPAQUIRÁ - EFZ;2024-01-06 22:00;10.05
ZIPAQUIRÁ - EFZ;2024-01-06 21:00;11.05
ZIPAQUIRÁ - EFZ;2024-01-06 20:00;11.77
ZIPAQUIRÁ - EFZ;2024-01-06 19:00;7.0
ZIPAQUIRÁ - EFZ;2024-01-06 18:00;6.95
ZIPAQUIRÁ - EFZ;2024-01-06 17:00;5.82
ZIPAQUIRÁ - EFZ;2024-01-06 16:00;2.09
ZIPAQUIRÁ - EFZ;2024-01-06 15:00;4.18
ZIPAQUIRÁ - EFZ;2024-01-06 14:00;8.14
ZIPAQUIRÁ - EFZ;2024-01-06 13:00;11.05
ZIPAQUIRÁ - EFZ;2024-01-06 12:00;12.64
ZIPAQUIRÁ - EFZ;2024-01-06 11:00;26.32
ZIPAQUIRÁ - EFZ;2024-01-06 10:00;32.72
ZIPAQUIRÁ - EFZ;2024-01-06 09:00;27.28
ZIPAQUIRÁ - EFZ;2024-01-06 08:00;32.54
ZIPAQUIRÁ - EFZ;2024-01-06 07:00;22.63
ZIPAQUIRÁ - EFZ;2024-01-06 06:00;15.37
ZIPAQUIRÁ - EFZ;2024-01-06 05:00;22.36
ZIPAQUIRÁ - EFZ;2024-01-06 04:00;9.64
ZIPAQUIRÁ - EFZ;2024-01-06 03:00;22.68
ZIPAQUIRÁ - EFZ;2024-01-06 02:00;15.68
ZIPAQUIRÁ - EFZ;2024-01-06 01:00;8.91
ZIPAQUIRÁ - EFZ;2024-01-06 00:00;7.64
ZIPAQUIRÁ - EFZ;2024-01-05 23:00;20.68
ZIPAQUIRÁ - EFZ;2024-01-05 22:00;14.14
ZIPAQUIRÁ - EFZ;2024-01-05 21:00;16.72
ZIPAQUIRÁ - EFZ;2024-01-05 20:00;11.37
ZIPAQUIRÁ - EFZ;2024-01-05 19:00;18.4
ZIPAQUIRÁ - EFZ;2024-01-05 18:00;5.95
ZIPAQUIRÁ - EFZ;2024-01-05 17:00;5.14
ZIPAQUIRÁ - EFZ;2024-01-05 16:00;7.91
ZIPAQUIRÁ - EFZ;2024-01-05 15:00;6.64
ZIPAQUIRÁ - EFZ;2024-01-05 14:00;19.54
ZIPAQUIRÁ - EFZ;2024-01-05 13:00;10.2
ZIPAQUIRÁ - EFZ;2024-01-05 12:00;17.09
ZIPAQUIRÁ - EFZ;2024-01-05 11:00;19.46
ZIPAQUIRÁ - EFZ;2024-01-05 10:00;29.18
ZIPAQUIRÁ - EFZ;2024-01-05 09:00;32.77
ZIPAQUIRÁ - EFZ;2024-01-05 08:00;27.82
